review,mojo_name,mojo_year,rt_name,genre,release_year,stream_year,critical_consensus,description
"The shark models have so little movement that at times they seem to be supporting themselves on boats, instead of attacking them. Up until the ludicrous final sequence of the movie, the scariest creature in the film is an eel.",Jaws: The Revenge,1987,Jaws the Revenge - Movie Reviews,"Mystery & Thriller , Adventure , Horror",In Theaters:,2015,"Illogical, tension-free, and filled with cut-rate special effects, Jaws: The Revenge is a sorry chapter in a once-proud franchise.","The family of widow Ellen Brody (Lorraine Gary) has long been plagued by shark attacks, and this unfortunate association continues when her son is the victim of a massive great white. In mourning, Ellen goes to visit her other son, Michael (Lance Guest), in the Bahamas, where she meets the charming Hoagie Newcombe (Michael Caine). As Ellen and Hoagie begin a relationship, a huge shark appears off the coast of the island, and Ellen's trouble with the great whites begins again."
"The only jaws to watch out for in this film are yours, hitting the floor.",Jaws: The Revenge,1987,Jaws the Revenge - Movie Reviews,"Mystery & Thriller , Adventure , Horror",In Theaters:,2015,"Illogical, tension-free, and filled with cut-rate special effects, Jaws: The Revenge is a sorry chapter in a once-proud franchise.","The family of widow Ellen Brody (Lorraine Gary) has long been plagued by shark attacks, and this unfortunate association continues when her son is the victim of a massive great white. In mourning, Ellen goes to visit her other son, Michael (Lance Guest), in the Bahamas, where she meets the charming Hoagie Newcombe (Michael Caine). As Ellen and Hoagie begin a relationship, a huge shark appears off the coast of the island, and Ellen's trouble with the great whites begins again."
"Thrillseekers, this one's pretty dismal.",Jaws: The Revenge,1987,Jaws the Revenge - Movie Reviews,"Mystery & Thriller , Adventure , Horror",In Theaters:,2015,"Illogical, tension-free, and filled with cut-rate special effects, Jaws: The Revenge is a sorry chapter in a once-proud franchise.","The family of widow Ellen Brody (Lorraine Gary) has long been plagued by shark attacks, and this unfortunate association continues when her son is the victim of a massive great white. In mourning, Ellen goes to visit her other son, Michael (Lance Guest), in the Bahamas, where she meets the charming Hoagie Newcombe (Michael Caine). As Ellen and Hoagie begin a relationship, a huge shark appears off the coast of the island, and Ellen's trouble with the great whites begins again."
"Jim Drake is credited with the direction and Gene Quintano with the script, though they'd probably appreciate it if you kept it to yourself.",Police Academy 4: Citizens on Patrol,1987,Police Academy 4: Citizens on Patrol - Movie Reviews,Comedy,In Theaters:,2009,"Utterly, completely, thoroughly and astonishingly unfunny, Police Academy 4: Citizens on Patrol sends a once-innocuous franchise plummeting to agonizing new depths.","Feeling that his squad is not up to snuff, a police commander comes up with an unorthodox plan to hire everyday citizens to work alongside police officers. Unruly Sgt. Carey Mahoney (Steve Guttenberg) is given the job of training the citizens. At first Mahoney does not take the job seriously, but, when he learns that his nemesis, Capt. Harris (G.W. Bailey), is gunning for his commander's job, Mahoney focuses on making the plan work -- and bringing down Harris at the same time."
What's so amazing about the Police Academy movies is that they keep being made even though they stopped being funny after the hilarious original.,Police Academy 4: Citizens on Patrol,1987,Police Academy 4: Citizens on Patrol - Movie Reviews,Comedy,In Theaters:,2009,"Utterly, completely, thoroughly and astonishingly unfunny, Police Academy 4: Citizens on Patrol sends a once-innocuous franchise plummeting to agonizing new depths.","Feeling that his squad is not up to snuff, a police commander comes up with an unorthodox plan to hire everyday citizens to work alongside police officers. Unruly Sgt. Carey Mahoney (Steve Guttenberg) is given the job of training the citizens. At first Mahoney does not take the job seriously, but, when he learns that his nemesis, Capt. Harris (G.W. Bailey), is gunning for his commander's job, Mahoney focuses on making the plan work -- and bringing down Harris at the same time."
"Oh dear...oh dear, oh dear...",Police Academy 4: Citizens on Patrol,1987,Police Academy 4: Citizens on Patrol - Movie Reviews,Comedy,In Theaters:,2009,"Utterly, completely, thoroughly and astonishingly unfunny, Police Academy 4: Citizens on Patrol sends a once-innocuous franchise plummeting to agonizing new depths.","Feeling that his squad is not up to snuff, a police commander comes up with an unorthodox plan to hire everyday citizens to work alongside police officers. Unruly Sgt. Carey Mahoney (Steve Guttenberg) is given the job of training the citizens. At first Mahoney does not take the job seriously, but, when he learns that his nemesis, Capt. Harris (G.W. Bailey), is gunning for his commander's job, Mahoney focuses on making the plan work -- and bringing down Harris at the same time."
Script is merely a collection of gags tied together by the slightest suggestion of a story.,Police Academy 4: Citizens on Patrol,1987,Police Academy 4: Citizens on Patrol - Movie Reviews,Comedy,In Theaters:,2009,"Utterly, completely, thoroughly and astonishingly unfunny, Police Academy 4: Citizens on Patrol sends a once-innocuous franchise plummeting to agonizing new depths.","Feeling that his squad is not up to snuff, a police commander comes up with an unorthodox plan to hire everyday citizens to work alongside police officers. Unruly Sgt. Carey Mahoney (Steve Guttenberg) is given the job of training the citizens. At first Mahoney does not take the job seriously, but, when he learns that his nemesis, Capt. Harris (G.W. Bailey), is gunning for his commander's job, Mahoney focuses on making the plan work -- and bringing down Harris at the same time."
"More of the same from the wackiest police force on the streets, and their newly recruited civilian helpers.",Police Academy 4: Citizens on Patrol,1987,Police Academy 4: Citizens on Patrol - Movie Reviews,Comedy,In Theaters:,2009,"Utterly, completely, thoroughly and astonishingly unfunny, Police Academy 4: Citizens on Patrol sends a once-innocuous franchise plummeting to agonizing new depths.","Feeling that his squad is not up to snuff, a police commander comes up with an unorthodox plan to hire everyday citizens to work alongside police officers. Unruly Sgt. Carey Mahoney (Steve Guttenberg) is given the job of training the citizens. At first Mahoney does not take the job seriously, but, when he learns that his nemesis, Capt. Harris (G.W. Bailey), is gunning for his commander's job, Mahoney focuses on making the plan work -- and bringing down Harris at the same time."
"The new players, like the original ones (who are still here in full force), are limited to one-shtick roles and are sometimes even more limited than that.",Police Academy 4: Citizens on Patrol,1987,Police Academy 4: Citizens on Patrol - Movie Reviews,Comedy,In Theaters:,2009,"Utterly, completely, thoroughly and astonishingly unfunny, Police Academy 4: Citizens on Patrol sends a once-innocuous franchise plummeting to agonizing new depths.","Feeling that his squad is not up to snuff, a police commander comes up with an unorthodox plan to hire everyday citizens to work alongside police officers. Unruly Sgt. Carey Mahoney (Steve Guttenberg) is given the job of training the citizens. At first Mahoney does not take the job seriously, but, when he learns that his nemesis, Capt. Harris (G.W. Bailey), is gunning for his commander's job, Mahoney focuses on making the plan work -- and bringing down Harris at the same time."
"Just when you think American film comedy has hit the bottom of the barrel, it makes a supreme effort and keeps sinking.",Police Academy 4: Citizens on Patrol,1987,Police Academy 4: Citizens on Patrol - Movie Reviews,Comedy,In Theaters:,2009,"Utterly, completely, thoroughly and astonishingly unfunny, Police Academy 4: Citizens on Patrol sends a once-innocuous franchise plummeting to agonizing new depths.","Feeling that his squad is not up to snuff, a police commander comes up with an unorthodox plan to hire everyday citizens to work alongside police officers. Unruly Sgt. Carey Mahoney (Steve Guttenberg) is given the job of training the citizens. At first Mahoney does not take the job seriously, but, when he learns that his nemesis, Capt. Harris (G.W. Bailey), is gunning for his commander's job, Mahoney focuses on making the plan work -- and bringing down Harris at the same time."
[It's] hard to imagine even die-hard genre fans who adore the original have much that's all that positive to say about this unfortunate misfire.,Return of the Living Dead Part II,1988,Return of the Living Dead Part II - Movie Reviews,"Comedy , Horror",In Theaters:,2016,Zero brains.,A boy (Michael Kenworthy) and his friends free something evil from a canister fallen off an Army truck.
The only saving grace in a totally misguided effort is the performance of character actor Bruns who is quite funny as the slightly off-the-wall doctor.,Return of the Living Dead Part II,1988,Return of the Living Dead Part II - Movie Reviews,"Comedy , Horror",In Theaters:,2016,Zero brains.,A boy (Michael Kenworthy) and his friends free something evil from a canister fallen off an Army truck.
"Not even a nuclear explosion, it seems, can prevent a sequel to a tongue-in-cheek zombie pic.",Return of the Living Dead Part II,1988,Return of the Living Dead Part II - Movie Reviews,"Comedy , Horror",In Theaters:,2016,Zero brains.,A boy (Michael Kenworthy) and his friends free something evil from a canister fallen off an Army truck.
... has nothing to do with George Romero's 1968 cult favorite ''Night of the Living Dead.'',Return of the Living Dead Part II,1988,Return of the Living Dead Part II - Movie Reviews,"Comedy , Horror",In Theaters:,2016,Zero brains.,A boy (Michael Kenworthy) and his friends free something evil from a canister fallen off an Army truck.
Audiences unfamiliar with the first film will be hard put to follow the action [from a story by Brian Clemens] as it incoherently hops about in time and space.,Highlander 2: The Quickening,1991,Highlander II: The Quickening - Movie Reviews,"Fantasy , Adventure",In Theaters:,2016,There should have been only one.,"In this sci-fi/fantasy sequel, Connor MacLeod (Christopher Lambert) has become an elderly man after losing his immortality. Living in a bleak future where the world is protected from solar radiation by a massive shield, MacLeod regains his youth when he kills two assassins from his home planet. This results in an ongoing battle with the villainous and powerful Gen. Katana (Michael Ironside), but MacLeod receives help when the noble Juan Ramirez (Sean Connery) returns."
"Leaden, laden with effects, short on imagination.",Highlander 2: The Quickening,1991,Highlander II: The Quickening - Movie Reviews,"Fantasy , Adventure",In Theaters:,2016,There should have been only one.,"In this sci-fi/fantasy sequel, Connor MacLeod (Christopher Lambert) has become an elderly man after losing his immortality. Living in a bleak future where the world is protected from solar radiation by a massive shield, MacLeod regains his youth when he kills two assassins from his home planet. This results in an ongoing battle with the villainous and powerful Gen. Katana (Michael Ironside), but MacLeod receives help when the noble Juan Ramirez (Sean Connery) returns."
"The acting is terrible,with Connery, at his lowest common denominator, stealing the show.",Highlander 2: The Quickening,1991,Highlander II: The Quickening - Movie Reviews,"Fantasy , Adventure",In Theaters:,2016,There should have been only one.,"In this sci-fi/fantasy sequel, Connor MacLeod (Christopher Lambert) has become an elderly man after losing his immortality. Living in a bleak future where the world is protected from solar radiation by a massive shield, MacLeod regains his youth when he kills two assassins from his home planet. This results in an ongoing battle with the villainous and powerful Gen. Katana (Michael Ironside), but MacLeod receives help when the noble Juan Ramirez (Sean Connery) returns."
Mulcahy and company don't ask us to suspend disbelief; they ask us to pretend we've all had weed-whacker lobotomies.,Highlander 2: The Quickening,1991,Highlander II: The Quickening - Movie Reviews,"Fantasy , Adventure",In Theaters:,2016,There should have been only one.,"In this sci-fi/fantasy sequel, Connor MacLeod (Christopher Lambert) has become an elderly man after losing his immortality. Living in a bleak future where the world is protected from solar radiation by a massive shield, MacLeod regains his youth when he kills two assassins from his home planet. This results in an ongoing battle with the villainous and powerful Gen. Katana (Michael Ironside), but MacLeod receives help when the noble Juan Ramirez (Sean Connery) returns."
Highlander 2: The Quickening is the most hilariously incomprehensible movie I've seen in many a long day -- a movie almost awesome in its badness.,Highlander 2: The Quickening,1991,Highlander II: The Quickening - Movie Reviews,"Fantasy , Adventure",In Theaters:,2016,There should have been only one.,"In this sci-fi/fantasy sequel, Connor MacLeod (Christopher Lambert) has become an elderly man after losing his immortality. Living in a bleak future where the world is protected from solar radiation by a massive shield, MacLeod regains his youth when he kills two assassins from his home planet. This results in an ongoing battle with the villainous and powerful Gen. Katana (Michael Ironside), but MacLeod receives help when the noble Juan Ramirez (Sean Connery) returns."
It would be much more fun to see the film makers point fingers at each other over why this sequel is so bad.,Highlander 2: The Quickening,1991,Highlander II: The Quickening - Movie Reviews,"Fantasy , Adventure",In Theaters:,2016,There should have been only one.,"In this sci-fi/fantasy sequel, Connor MacLeod (Christopher Lambert) has become an elderly man after losing his immortality. Living in a bleak future where the world is protected from solar radiation by a massive shield, MacLeod regains his youth when he kills two assassins from his home planet. This results in an ongoing battle with the villainous and powerful Gen. Katana (Michael Ironside), but MacLeod receives help when the noble Juan Ramirez (Sean Connery) returns."
Graham paints a picture of love that is tediously sexist. One for pervs and frustrated holidaymakers only.,Return to the Blue Lagoon,1991,Return to the Blue Lagoon - Movie Reviews,Romance,In Theaters:,2011,"Despite its lush tropical scenery and attractive leads, Return to the Blue Lagoon is as ridiculous as its predecessor, and lacks the prurience and unintentional laughs that might make it a guilty pleasure.","When widow Sarah Hargrave (Lisa Pelikan) washes ashore on a tropical island with her daughter and adopted son, she learns how to survive and raise the two children on her own. After her death, the kids -- Lilli (Milla Jovovich) and Richard (Brian Krause) -- are forced to continue their uncivilized lives without any parental guidance, and, as they enter young adulthood, they begin to fall in love. Their Eden-like existence is threatened, however, when outsiders arrive on the island."
"The travelogue-style photography is soothing, the bodies are pretty and the music isn't offensive, but feature-length movies can't survive on the ingredients for a standard airline commercial.",Return to the Blue Lagoon,1991,Return to the Blue Lagoon - Movie Reviews,Romance,In Theaters:,2011,"Despite its lush tropical scenery and attractive leads, Return to the Blue Lagoon is as ridiculous as its predecessor, and lacks the prurience and unintentional laughs that might make it a guilty pleasure.","When widow Sarah Hargrave (Lisa Pelikan) washes ashore on a tropical island with her daughter and adopted son, she learns how to survive and raise the two children on her own. After her death, the kids -- Lilli (Milla Jovovich) and Richard (Brian Krause) -- are forced to continue their uncivilized lives without any parental guidance, and, as they enter young adulthood, they begin to fall in love. Their Eden-like existence is threatened, however, when outsiders arrive on the island."
Things are pretty much the same for the semi-nude kids in this movie as they were for the semi-nude kids in the first Blue Lagoon.,Return to the Blue Lagoon,1991,Return to the Blue Lagoon - Movie Reviews,Romance,In Theaters:,2011,"Despite its lush tropical scenery and attractive leads, Return to the Blue Lagoon is as ridiculous as its predecessor, and lacks the prurience and unintentional laughs that might make it a guilty pleasure.","When widow Sarah Hargrave (Lisa Pelikan) washes ashore on a tropical island with her daughter and adopted son, she learns how to survive and raise the two children on her own. After her death, the kids -- Lilli (Milla Jovovich) and Richard (Brian Krause) -- are forced to continue their uncivilized lives without any parental guidance, and, as they enter young adulthood, they begin to fall in love. Their Eden-like existence is threatened, however, when outsiders arrive on the island."
Return to the Blue Lagoon is neither campy enough to be howlingly funny nor prurient enough to be provocative.,Return to the Blue Lagoon,1991,Return to the Blue Lagoon - Movie Reviews,Romance,In Theaters:,2011,"Despite its lush tropical scenery and attractive leads, Return to the Blue Lagoon is as ridiculous as its predecessor, and lacks the prurience and unintentional laughs that might make it a guilty pleasure.","When widow Sarah Hargrave (Lisa Pelikan) washes ashore on a tropical island with her daughter and adopted son, she learns how to survive and raise the two children on her own. After her death, the kids -- Lilli (Milla Jovovich) and Richard (Brian Krause) -- are forced to continue their uncivilized lives without any parental guidance, and, as they enter young adulthood, they begin to fall in love. Their Eden-like existence is threatened, however, when outsiders arrive on the island."
"Jovovich is a beauty recalling the very young Myrna Loy, Krause is boyishly handsome; both are capable and should survive this particular shipwreck.",Return to the Blue Lagoon,1991,Return to the Blue Lagoon - Movie Reviews,Romance,In Theaters:,2011,"Despite its lush tropical scenery and attractive leads, Return to the Blue Lagoon is as ridiculous as its predecessor, and lacks the prurience and unintentional laughs that might make it a guilty pleasure.","When widow Sarah Hargrave (Lisa Pelikan) washes ashore on a tropical island with her daughter and adopted son, she learns how to survive and raise the two children on her own. After her death, the kids -- Lilli (Milla Jovovich) and Richard (Brian Krause) -- are forced to continue their uncivilized lives without any parental guidance, and, as they enter young adulthood, they begin to fall in love. Their Eden-like existence is threatened, however, when outsiders arrive on the island."
"When an old scallawag spies on Lilli bathing naked in a waterfall, we civilized viewers are primed to condemn him. But we're all scallawags here.",Return to the Blue Lagoon,1991,Return to the Blue Lagoon - Movie Reviews,Romance,In Theaters:,2011,"Despite its lush tropical scenery and attractive leads, Return to the Blue Lagoon is as ridiculous as its predecessor, and lacks the prurience and unintentional laughs that might make it a guilty pleasure.","When widow Sarah Hargrave (Lisa Pelikan) washes ashore on a tropical island with her daughter and adopted son, she learns how to survive and raise the two children on her own. After her death, the kids -- Lilli (Milla Jovovich) and Richard (Brian Krause) -- are forced to continue their uncivilized lives without any parental guidance, and, as they enter young adulthood, they begin to fall in love. Their Eden-like existence is threatened, however, when outsiders arrive on the island."
"Return to the Blue Lagoon is a pointless spinoff of the 1980 hit, which was itself a remake of a 1949 British pic.",Return to the Blue Lagoon,1991,Return to the Blue Lagoon - Movie Reviews,Romance,In Theaters:,2011,"Despite its lush tropical scenery and attractive leads, Return to the Blue Lagoon is as ridiculous as its predecessor, and lacks the prurience and unintentional laughs that might make it a guilty pleasure.","When widow Sarah Hargrave (Lisa Pelikan) washes ashore on a tropical island with her daughter and adopted son, she learns how to survive and raise the two children on her own. After her death, the kids -- Lilli (Milla Jovovich) and Richard (Brian Krause) -- are forced to continue their uncivilized lives without any parental guidance, and, as they enter young adulthood, they begin to fall in love. Their Eden-like existence is threatened, however, when outsiders arrive on the island."
"Like a sex education film made by semi-liberated nuns, the movie keeps its sticky truths hidden beneath a veneer of leering cleanliness.",Return to the Blue Lagoon,1991,Return to the Blue Lagoon - Movie Reviews,Romance,In Theaters:,2011,"Despite its lush tropical scenery and attractive leads, Return to the Blue Lagoon is as ridiculous as its predecessor, and lacks the prurience and unintentional laughs that might make it a guilty pleasure.","When widow Sarah Hargrave (Lisa Pelikan) washes ashore on a tropical island with her daughter and adopted son, she learns how to survive and raise the two children on her own. After her death, the kids -- Lilli (Milla Jovovich) and Richard (Brian Krause) -- are forced to continue their uncivilized lives without any parental guidance, and, as they enter young adulthood, they begin to fall in love. Their Eden-like existence is threatened, however, when outsiders arrive on the island."
